service_id,date,exception_type
000001,20191221,1
000001,20191228,1
000001,20200104,1
000001,20200111,1
000001,20200118,1
000001,20200125,1
000001,20200201,1
000001,20200208,1
000001,20200215,1
000001,20200222,1
000001,20200229,1
000001,20200307,1
000002,20191216,1
000002,20191217,1
000002,20200225,1
000002,20200226,1
000002,20200227,1
000003,20200404,1
000003,20200411,1
000003,20200418,1
000003,20200425,1
000003,20200502,1
000003,20200509,1
000003,20200516,1
000003,20200523,1
000003,20200530,1
000003,20200606,1
000003,20200613,1
000003,20200620,1
000003,20200627,1
000003,20200704,1
000003,20200711,1
000003,20200718,1
000003,20200725,1
000003,20200801,1
000003,20200808,1
000003,20200815,1
000003,20200822,1
000003,20200829,1
000003,20200905,1
000003,20200912,1
000003,20200919,1
000003,20200926,1
000003,20201003,1
000003,20201010,1
000004,20191215,1
000004,20191221,1
000004,20191222,1
000004,20191225,1
000004,20191226,1
000004,20191228,1
000004,20191229,1
000004,20200101,1
000004,20200104,1
000004,20200105,1
000004,20200106,1
000004,20200111,1
000004,20200112,1
000004,20200118,1
000004,20200119,1
000004,20200125,1
000004,20200126,1
000004,20200201,1
000004,20200202,1
000004,20200208,1
000004,20200209,1
000004,20200215,1
000004,20200216,1
000004,20200222,1
000004,20200223,1
000004,20200229,1
000004,20200301,1
000004,20200307,1
000004,20200308,1
000004,20200314,1
000004,20200315,1
000004,20200321,1
000004,20200322,1
000004,20200328,1
000004,20200329,1
000004,20200404,1
000004,20200405,1
000004,20200411,1
000004,20200412,1
000004,20200413,1
000004,20200418,1
000004,20200419,1
000004,20200425,1
000004,20200426,1
000004,20200501,1
000004,20200502,1
000004,20200503,1
000004,20200509,1
000004,20200510,1
000004,20200516,1
000004,20200517,1
000004,20200521,1
000004,20200523,1
000004,20200524,1
000004,20200530,1
000004,20200531,1
000004,20200601,1
000004,20200606,1
000004,20200607,1
000004,20200611,1
000004,20200613,1
000004,20200614,1
000004,20200620,1
000004,20200621,1
000004,20200627,1
000004,20200628,1
000004,20200704,1
000004,20200705,1
000004,20200711,1
000004,20200712,1
000004,20200718,1
000004,20200719,1
000004,20200725,1
000004,20200726,1
000004,20200801,1
000004,20200802,1
000004,20200808,1
000004,20200809,1
000004,20200815,1
000004,20200816,1
000004,20200822,1
000004,20200823,1
000004,20200829,1
000004,20200830,1
000004,20200905,1
000004,20200906,1
000004,20200912,1
000004,20200913,1
000004,20200919,1
000004,20200920,1
000004,20200926,1
000004,20200927,1
000004,20201003,1
000004,20201004,1
000004,20201010,1
000004,20201011,1
000004,20201017,1
000004,20201018,1
000004,20201024,1
000004,20201025,1
000004,20201026,1
000004,20201031,1
000004,20201101,1
000004,20201107,1
000004,20201108,1
000004,20201114,1
000004,20201115,1
000004,20201121,1
000004,20201122,1
000004,20201128,1
000004,20201129,1
000004,20201205,1
000004,20201206,1
000004,20201208,1
000004,20201212,1
000005,20191220,1
000005,20191227,1
000005,20200103,1
000005,20200110,1
000005,20200117,1
000005,20200124,1
000005,20200131,1
000005,20200207,1
000005,20200214,1
000005,20200221,1
000005,20200228,1
000005,20200306,1
000005,20200313,1
000005,20200320,1
000005,20200327,1
000005,20200403,1
000005,20200410,1
000005,20200424,1
000005,20200430,1
000005,20200508,1
000005,20200515,1
000005,20200520,1
000005,20200529,1
000005,20200605,1
000005,20200610,1
000005,20200619,1
000005,20200626,1
000005,20200703,1
000005,20200710,1
000005,20200717,1
000005,20200724,1
000005,20200731,1
000005,20200807,1
000005,20200814,1
000005,20200821,1
000005,20200828,1
000005,20200904,1
000005,20200911,1
000005,20200918,1
000005,20200925,1
000005,20201002,1
000005,20201009,1
000005,20201016,1
